Pathway	GeneID	Symbol	Description	Drought_W24_log2FC	Drought_W24_padj	Drought_W8_log2FC	Drought_W8_padj	W24_vs_W8_Drought_log2FC	W24_vs_W8_Drought_padj	W24_vs_W8_Control_log2FC	W24_vs_W8_Control_padj
Starch	HORVU5Hr1G087810	HORVU5Hr1G087810	UTP--glucose-1-phosphate uridylyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A287S5U2]	0.4192	0.350106	-0.1792	0.748751	0.2398	0.354282	-0.3586	0.128669
Photosynthesis	HORVU5Hr1G087840	HORVU5Hr1G087840	NAC domain containing protein 57 [Source:Projected from Arabidopsis thaliana (AT3G17730) UniProtKB/TrEMBL;Acc:Q9LSH5]	1.5845	0.59958	-1.5881	0.748751	1.5845	0.514749	-1.5881	0.449445
ROS_Scavenging	HORVU5Hr1G087860	HORVU5Hr1G087860		-1.1904	0.390126	-0.4866	0.748751	-0.0116	0.988846	0.6923	0.302746
IAA	HORVU5Hr1G087880	HORVU5Hr1G087880		-2.1742	0.350106	-0.4954	0.804105	-1.406	0.399333	0.2728	0.757197
ABA	HORVU5Hr1G087920	HORVU5Hr1G087920		-1.0216	0.497076	-0.404	0.748751	-0.7821	0.485237	-0.1646	0.767457
ABA	HORVU5Hr1G087930	HORVU5Hr1G087930		-0.917	0.533976	-0.8573	0.748751	0.448	0.661112	0.5076	0.486904
ROS_Scavenging	HORVU5Hr1G087960	HORVU5Hr1G087960		-3.4635	0.408417	-2.7147	0.748751	-0.1634	0.916173	0.5853	0.443827
ABA	HORVU5Hr1G087970	HORVU5Hr1G087970		-0.8124	0.52412	-0.916	0.748751	0.5304	0.606531	0.4268	0.480494
Cytokinin	HORVU5Hr1G087980	HORVU5Hr1G087980		0.0745	0.908839	-0.1421	0.813444	-0.4159	0.370274	-0.6326	0.341776
ROS_Scavenging	HORVU5Hr1G087990	HORVU5Hr1G087990		0.0506	0.839032	-0.2187	0.748751	0.3044	0.356522	0.0351	0.849625
Ubiquitin_Proteasome	HORVU5Hr1G088020	HORVU5Hr1G088020	Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2DA61]	0.2124	0.858382	0.3042	0.801882	0.0649	0.947723	0.1567	0.829556
ROS_Scavenging	HORVU5Hr1G088030	HORVU5Hr1G088030		-0.2835	0.611995	-0.2003	0.748751	0.2911	0.5651	0.3743	0.270101
Jasmonate_JA	HORVU5Hr1G088060	HORVU5Hr1G088060		-0.254	0.670681	-0.0748	0.955528	0.0685	0.934568	0.2477	0.58482
Carotenoid	HORVU5Hr1G088130	HORVU5Hr1G088130		1.2214	0.542797	2.5495	0.748751	-1.241	0.364759	0.0871	0.889386
Flavonoid	HORVU5Hr1G088140	HORVU5Hr1G088140		-0.2925	0.527342	0.0757	0.750669	-0.393	0.386996	-0.0248	0.864042
Photosynthesis	HORVU5Hr1G088200	HORVU5Hr1G088200	Carboxyl-terminal-processing peptidase 2, chloroplastic [Source:Projected from Arabidopsis thaliana (AT4G17740) UniProtKB/Swiss-Prot;Acc:O23614]	0.0914	0.670681	-0.2633	0.748751	0.462	0.343693	0.1072	0.466414
Glucosinolate	HORVU5Hr1G088230	HORVU5Hr1G088230		0.4805	0.670681	0	NA	0.4805	0.606531	0	NA
Glucosinolate	HORVU5Hr1G088260	HORVU5Hr1G088260		0.7808	0.802792	0.0795	0.978103	1.7499	0.614669	1.0486	0.382509
Photosynthesis	HORVU5Hr1G088270	HORVU5Hr1G088270	Protein PEROXIN-4 [Source:Projected from Arabidopsis thaliana (AT5G25760) UniProtKB/Swiss-Prot;Acc:Q8LGF7]	-0.216	0.390126	0.1525	0.748751	-0.4594	0.377723	-0.091	0.417429
Cytokinin	HORVU5Hr1G088280	HORVU5Hr1G088280		-0.8322	0.670681	0	NA	0	NA	0.8322	0.58482
Cytokinin	HORVU5Hr1G088290	HORVU5Hr1G088290	Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2DFW6]	-0.3928	0.589865	0.0541	0.891349	0.2877	0.606531	0.7345	0.127039
Photosynthesis	HORVU5Hr1G088330	HORVU5Hr1G088330	SYCO ARATH [Source:Projected from Arabidopsis thaliana (AT2G31170) UniProtKB/TrEMBL;Acc:A0A178VWT1]	0.4171	0.5256	-0.1685	0.748751	0.1447	0.560926	-0.4409	0.370178
Glutathione_Metabolism	HORVU5Hr1G088390	HORVU5Hr1G088390		0.4058	0.648329	0	NA	1.2603	0.402393	0.8545	0.147855
Inositol	HORVU5Hr1G088420	HORVU5Hr1G088420		2.1728	0.446031	0.6926	0.794843	-0.6151	0.683616	-2.0954	0.445201
Glucosinolate	HORVU5Hr1G088430	HORVU5Hr1G088430		-0.2982	0.71021	-0.3433	0.748751	-0.25	0.520791	-0.2952	0.58482
Cytokinin	HORVU5Hr1G088460	HORVU5Hr1G088460		-0.1234	0.670681	0.1274	0.809739	-0.6545	0.391611	-0.4038	0.192301
RNA_Processing	HORVU5Hr1G088510	HORVU5Hr1G088510		-0.3106	0.447366	0.1841	0.748751	-0.1217	0.399333	0.373	0.217811
Glycolysis	HORVU5Hr1G088530	HORVU5Hr1G088530	purine permease 5 [Source:Projected from Arabidopsis thaliana (AT2G24220) TAIR;Acc:AT2G24220]	0.3384	0.776778	0.458	0.748751	-0.8407	0.436092	-0.7211	0.43684
