Pathway	GeneID	Symbol	Description	HL_vs_LL_1mM_log2FC	HL_vs_LL_1mM_padj	HL_vs_LL_10mM_log2FC	HL_vs_LL_10mM_padj	HighN_vs_LowN_HL_log2FC	HighN_vs_LowN_HL_padj	HighN_vs_LowN_LL_log2FC	HighN_vs_LowN_LL_padj
DNA_Repair	Cz01g08260	AT5G66130	(1 of 1) K06662 - cell cycle checkpoint protein (HRAD17, RAD24)	0.3997	0.259276	0.1806	0.590233	-1.1998	0.011188	-0.9807	0.035842
Histone_Demethylation	Cz01g09020	AT1G11950	(1 of 1) PTHR12549:SF67 - JMJC DOMAIN-CONTAINING PROTEIN	0.2814	0.448871	-0.31	0.594511	-1.8497	0.032676	-1.2583	0.03828
SCF_Cullin_Ligase	Cz01g09050	AT1G26830	(1 of 2) K03869 - cullin 3 (CUL3)	0.1048	0.506874	0.1719	0.459343	-0.6402	0.013208	-0.7073	0.028752
Aspartate	Cz01g09090	AT4G31880	(1 of 2) PTHR12663:SF3 - ASPARTYL BETA-HYDROXYLASE N-TERMINAL REGION DOMAIN-CONTAINING PROTEIN-RELATED	0.1103	0.296108	0.2474	0.364571	-0.3693	0.072046	-0.5064	0.044375
Protein_Kinase_Signalling	Cz01g09100	AT4G04720	(1 of 4) PTHR24349:SF551 - CALCIUM-DEPENDENT PROTEIN KINASE 21-RELATED	0.3969	0.516477	-0.7587	0.800615	-1.981	0.033012	-0.8254	0.485365
Suberin_Wax_Biosynthesis	Cz01g09160	AT5G10160	(1 of 1) PTHR30272:SF17 - 3-HYDROXYACYL-[ACYL-CARRIER-PROTEIN] DEHYDRATASE	0.3053	0.48991	0.275	0.121758	0.3316	0.174213	0.3619	0.211883
Purine	Cz01g09180	AT1G57990	(1 of 3) PTHR31376:SF34 - PURINE PERMEASE 17-RELATED	3.9643	0.446162	0	NA	-3.9643	0.279042	0	NA
Mitochondrial_ETC	Cz01g09280	AT4G14145	(1 of 1) K18182 - cytochrome c oxidase assembly protein subunit 16 (COX16)	0.4893	0.485167	0.3512	0.411317	-1.4205	0.11196	-1.2824	0.109158
Vesicle_Trafficking	Cz01g09290	AT1G09630	(1 of 1) PTHR47979:SF142 - RAS-RELATED PROTEIN RABA2A	0.129	0.372285	0.2008	0.160891	-0.2141	0.049523	-0.2859	0.064924
Proline	Cz01g10010	AT3G61540	(1 of 1) PTHR43248:SF2 - PROLYL AMINOPEPTIDASE	0.3321	0.340801	0.1951	0.579545	-1.0317	0.030994	-0.8946	0.027666
Chloroplast_Function	Cz01g10040	AT4G22240	(1 of 1) PTHR31906:SF38 - PLASTID-LIPID-ASSOCIATED PROTEIN 2, CHLOROPLASTIC-RELATED	0.2714	0.221622	0.7128	0.194	-0.2517	0.190613	-0.6932	0.017002
Transcription_Elongation	Cz01g10050	AT1G61040	(1 of 1) K15178 - RNA polymerase-associated protein RTF1 (RTF1)	0.0822	0.361972	0.1316	0.452175	-0.2784	0.060914	-0.3278	0.030915
Ribosome_Biogenesis	Cz01g10060	AT5G46420	(1 of 1) PTHR11952:SF10 - RIMM-LIKE 16S RRNA PROCESSING PROTEIN	-0.0791	0.454017	0.2917	0.150139	0.1198	0.17797	-0.251	0.069415
Protein_Kinase_Signalling	Cz01g10090	AT5G03300	(1 of 1) PTHR45769:SF8 - ADENOSINE KINASE 2	0.3888	0.267262	-1.0969	0.163284	-2.6735	0.010839	-1.1877	0.029796
Protein_Kinase_Signalling	Cz01g10100	AT3G09820	(1 of 1) PTHR45769:SF3 - ADENOSINE KINASE	0.2703	0.674816	0.903	0.459854	-0.5261	0.340759	-1.1587	0.17064
Protein_Kinase_Signalling	Cz01g10120	AT5G03300	(1 of 1) PTHR45769:SF8 - ADENOSINE KINASE 2	-0.0914	0.643148	0.1131	0.419047	0.1604	0.296648	-0.0441	0.517152
DNA_Repair	Cz01g10190	AT3G19210	(1 of 7) K10875 - DNA repair and recombination protein RAD54 and RAD54-like protein (RAD54L, RAD54)	0.5869	0.280656	-0.1553	0.903391	-1.3803	0.039288	-0.6381	0.290459
DNA_Repair	Cz01g10200	AT3G19210	(1 of 7) K10875 - DNA repair and recombination protein RAD54 and RAD54-like protein (RAD54L, RAD54)	-0.2719	0.49554	0.2552	0.300311	0.1263	0.558091	-0.4009	0.190483
Glycolysis	Cz01g10210	AT4G21760	(1 of 1) PTHR10353:SF27 - BETA-GLUCOSIDASE 45-RELATED	-0.0628	0.628108	-0.082	0.831925	-0.9385	0.013538	-0.9192	0.031531
Chaperone	Cz01g10230	AT2G35720	(1 of 1) K09531 - DnaJ homolog subfamily C member 11 (DNAJC11)	0.057	0.750578	0.0678	0.346552	-0.06	0.583755	-0.0707	0.477462
Molybdenum_Cofactor	Cz01g11080	AT5G47240	(1 of 1) PTHR13994:SF13 - NUCLEOSIDE DIPHOSPHATE-LINKED MOIETY X MOTIF 6	-0.0148	0.973236	0.0877	0.815906	-0.6187	0.074439	-0.7212	0.115986
Metal_Homeostasis	Cz01g11090	AT3G20870	(1 of 1) K07238 - zinc transporter, ZIP family (TC.ZIP, zupT, ZRT3, ZIP2)	0.0085	0.965468	0.4143	0.11026	0.1213	0.245599	-0.2845	0.098755
Glutathione_Metabolism	Cz01g11100	AT3G24170	(1 of 1) PTHR42737:SF4 - GLUTATHIONE REDUCTASE	0.3034	0.673679	-0.117	0.579328	0.0072	0.987759	0.4275	0.09622
RNA_Splicing	Cz01g11120	AT1G78280	(1 of 1) PTHR12480:SF35 - JMJC DOMAIN-CONTAINING PROTEIN 8	-0.0821	0.817895	-0.4687	0.680653	-0.5531	0.403482	-0.1665	0.703464
RNA_Splicing	Cz01g11140	AT1G78280	(1 of 1) PTHR12480:SF35 - JMJC DOMAIN-CONTAINING PROTEIN 8	0.1123	0.415808	-0.0502	0.899764	-0.2648	0.2951	-0.1023	0.310559
Cell_Cycle_Chromatin	Cz01g11150	AT2G26430	(1 of 1) KOG0835 - Cyclin L	0.0771	0.679601	-0.0384	0.893037	-0.3329	0.102496	-0.2174	0.18163
Purine	Cz01g11170	AT3G43300	(1 of 1) K13462 - guanine nucleotide-exchange factor (MIN7)	0.1601	0.326713	0.0258	0.918327	-1.0577	0.012955	-0.9233	0.022587
Proline	Cz01g11200	AT1G26550	(1 of 1) K09579 - peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 [EC:5.2.1.8] (PIN4)	0.5434	0.356099	-0.158	0.660434	-1.1704	0.072423	-0.4691	0.07194
Ubiquinone_Biosynthesis	Cz01g12010	AT4G22260	(1 of 1) PTHR31803:SF10 - UBIQUINOL OXIDASE 4, CHLOROPLASTIC/CHROMOPLASTIC	0.2754	0.277897	0.0404	0.87217	-1.0222	0.012341	-0.7872	0.015676
RNA_Processing	Cz01g12030	AT4G20325	(1 of 1) K10744 - ribonuclease H2 subunit B (RNASEH2B)	0.4257	0.318963	0.0872	0.813809	-1.5491	0.010988	-1.2105	0.069371
Asparagine	Cz01g12050	AT2G03667	(1 of 1) PTHR45937:SF1 - ASPARAGINE SYNTHETASE DOMAIN-CONTAINING PROTEIN 1	0.155	0.302472	0.1248	0.165144	-0.2406	0.041423	-0.2105	0.094916
Chromatin_Silencing	Cz01g12090	AT1G79020	(1 of 2) K11322 - enhancer of polycomb-like protein (EPC)	0.2736	0.311931	-0.0356	0.820843	-0.6109	0.013965	-0.3017	0.164958
Vesicle_Trafficking	Cz01g12130	AT5G55060	(1 of 1) PTHR21422:SF10 - RAB3 GTPASE-ACTIVATING PROTEIN CATALYTIC SUBUNIT	0.2812	0.679156	-0.1325	0.889752	-2.7391	0.096746	-2.3254	0.019444
Phospholipid_Biosynthesis	Cz01g12160	AT2G20900	(1 of 1) PTHR11255:SF98 - DIACYLGLYCEROL KINASE 5	0.0277	0.852814	0.1624	0.304329	-0.3399	0.056151	-0.4745	0.027464
Calcium_Signalling	Cz01g12170	AT5G47540	(1 of 4) K08272 - calcium binding protein 39 (CAB39, MO25)	-0.1055	0.616182	-0.18	0.671696	-1.185	0.021827	-1.1105	0.015487
Protein_Kinase_Signalling	Cz01g12180	AT5G12180	(1 of 1) PTHR24349:SF353 - CALCIUM-DEPENDENT PROTEIN KINASE 17	0.0685	0.901651	-0.1158	0.937747	0.3137	0.595959	0.498	0.590027
Sugar_Transport	Cz01g12200	AT3G15660	(1 of 1) K07390 - monothiol glutaredoxin (grxD, GLRX5)	0.0341	0.672965	0.2397	0.163259	0.0408	0.534437	-0.1647	0.117225
Chaperone	Cz01g13010	AT5G23240	(1 of 1) PTHR45295:SF1 - CHAPERONE PROTEIN DNAJ C76, CHLOROPLASTIC	-0.125	0.616249	-0.6648	0.09335	0.1767	0.304614	0.7165	0.028682
Proline	Cz01g13020	AT4G26555	(1 of 1) PTHR43811:SF26 - PEPTIDYL-PROLYL CIS-TRANS ISOMERASE FKBP16-1, CHLOROPLASTIC	-0.3818	0.311931	0.2329	0.189449	1.6731	0.008335	1.0583	0.019295
RNA_Polymerase	Cz01g13030	AT5G23710	(1 of 1) K03025 - DNA-directed RNA polymerase III subunit RPC6 (RPC6, POLR3F)	-0.0362	0.827217	0.2881	0.222216	0.2719	0.108943	-0.0525	0.602179
RNA_Polymerase	Cz01g13040	AT5G23710	(1 of 1) K03025 - DNA-directed RNA polymerase III subunit RPC6 (RPC6, POLR3F)	0.104	0.315149	0.2506	0.139297	0.1202	0.12535	-0.0264	0.71131
RNA_Processing	Cz01g13050	AT3G18600	(1 of 1) PTHR24031:SF769 - DEAD-BOX ATP-DEPENDENT RNA HELICASE 51	-0.1817	0.441762	0.0869	0.645885	-0.0972	0.203479	-0.3658	0.109161
Ubiquitin_Proteasome	Cz01g13090	AT5G13530	(1 of 1) K16279 - E3 ubiquitin-protein ligase KEG [EC:2.7.11.1 6.3.2.19] (KEG)	-0.744	0.162576	-0.0103	0.966161	0.8262	0.023091	0.0925	0.460877
Cell_Wall_Remodeling	Cz01g13110	AT4G38210	(1 of 1) PTHR31867:SF99 - EXPANSIN-A20	-3.8411	0.615381	0	NA	0	NA	-3.8411	0.490096
Chaperone	Cz01g13170	AT5G59610	(1 of 1) PTHR43096:SF61 - CHAPERONE DNAJ-DOMAIN SUPERFAMILY PROTEIN	0.0242	0.838541	0.2811	0.345691	0.1606	0.282999	-0.0963	0.558554
RNA_Splicing	Cz01g13190	AT1G66770	(1 of 2) PTHR10791:SF30 - SUGAR TRANSPORTER SWEET1	0	NA	0	NA	0	NA	0	NA
Vesicle_Trafficking	Cz01g13240	AT2G36360	(1 of 1) PTHR23244:SF467//PTHR23244:SF471//PTHR46647:SF1 - SAM DOMAIN-CONTAINING PROTEIN // KELCH REPEAT-CONTAINING PROTEIN 1-RELATED // RAB9 EFFECTOR PROTEIN WITH KELCH MOTIFS	-0.513	0.325891	-0.9781	0.228168	-1.3556	0.048402	-0.8904	0.070562
RNA_Degradation	Cz01g13250	AT4G32175	(1 of 2) K03681 - exosome complex component RRP40 (RRP40, EXOSC3)	0.0735	0.456351	0.1459	0.284878	0.0366	0.650981	-0.0357	0.530692
Folate	Cz01g13280	AT1G69190	(1 of 2) K13941 - 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase / dihydropteroate synthase (folKP)	0.0723	0.464901	0.0585	0.5316	-0.1236	0.131669	-0.1097	0.177481
RNA_Processing	Cz01g14070	AT4G15850	(1 of 1) K14807 - ATP-dependent RNA helicase DDX51/DBP6 [EC:3.6.4.13] (DDX51, DBP6)	0.0484	0.653409	0.3286	0.284085	-0.0457	0.688958	-0.3259	0.127454
Serine	Cz01g14090	AT1G18160	(1 of 1) 2.7.10.2//2.7.11.1//2.7.11.25 - non-specific protein-tyrosine kinase. / cytoplasmic protein tyrosine kinase. // non-specific serine/threonine protein kinase. / threonine-specific protein kinase. // mitogen-activated protein kinase kinase kinase. / MLTK.	-0.0852	0.641951	-0.4394	0.379559	-1.0242	0.007727	-0.6699	0.05711
Cytoskeleton	Cz01g14110	AT3G44050	(1 of 6) K10400 - kinesin family member 15 (KIF15)	0.5035	0.296136	-0.1424	0.630768	-0.9537	0.030628	-0.3078	0.313899
Transcription	Cz01g14140	AT1G08010	(1 of 2) PTHR45658:SF152 - GATA TRANSCRIPTION FACTOR 10-RELATED	0.0883	0.54193	-0.0109	0.982794	-1.1303	0.032886	-1.0311	0.021513
Chaperone	Cz01g14160	AT3G62600	(1 of 1) K09517 - DnaJ homolog subfamily B member 11 (DNAJB11)	0.1418	0.446823	0.0524	0.741334	-0.4528	0.009874	-0.3634	0.088317
BCAA_Synthesis	Cz01g14170	AT4G34030	(1 of 1) K01969 - 3-methylcrotonyl-CoA carboxylase beta subunit (E6.4.1.4B)	0.7775	0.542657	-1.6725	0.174538	-3.5746	0.145381	-1.1245	0.30192
Redox_Metabolism	Cz01g14180	AT4G31530	(1 of 9) KOG1203 - Predicted dehydrogenase	0.2504	0.258132	0.6884	0.058991	0.5865	0.009718	0.1485	0.180189
Ubiquitin_Proteasome	Cz01g14210	AT4G39370	(1 of 1) K11851 - ubiquitin carboxyl-terminal hydrolase 30 [EC:3.4.19.12] (USP30)	-0.0273	0.916035	0.1467	0.594898	-0.0129	0.930267	-0.1869	0.380024
Ubiquitin_Proteasome	Cz01g14230	AT3G57870	(1 of 1) K10577 - ubiquitin-conjugating enzyme E2 I (UBE2I, UBC9)	0.174	0.441404	0.2529	0.093813	-0.3286	0.015824	-0.4074	0.120995
Vitamin_B6_Pyridoxine	Cz01g14250	AT2G46580	(1 of 2) 1.4.3.5 - pyridoxal 5'-phosphate synthase. / pyridoxine (pyridoxamine)phosphate oxidase.	0.0538	0.792485	0.432	0.057154	0.1293	0.280339	-0.249	0.155007
Ubiquitin_Proteasome	Cz01g15020	AT1G32340	(1 of 1) K11971 - E3 ubiquitin-protein ligase RNF14 [EC:6.3.2.19] (RNF14, ARA54)	0.1318	0.543155	0.1078	0.409718	-0.2895	0.156199	-0.2656	0.072936
N_Glycosylation	Cz01g15030	AT1G74340	(1 of 1) K09658 - dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit (DPM2)	0.0417	0.77818	0.317	0.578569	-0.237	0.226347	-0.5123	0.20646
Chloroplast_Function	Cz01g15050	AT3G57180	(1 of 1) PTHR46434:SF3 - GTP-BINDING PROTEIN BRASSINAZOLE INSENSITIVE PALE GREEN 2, CHLOROPLASTIC	-0.0247	0.898038	0.0493	0.748561	0.0024	0.968561	-0.0716	0.631618
Beta_Carotene	Cz01g15060	AT2G44990	(1 of 1) 1.13.11.68//1.13.11.71 - 9-cis-beta-carotene 9',10'-cleaving dioxygenase. / 9-cis-beta-carotene 9',10'-cleaving dioxygenase. // carotenoid-9',10'-cleaving dioxygenase. / beta-carotene 9',10'-monooxygenase.	0.235	0.310844	0.6802	0.119818	0.3089	0.108763	-0.1363	0.389055
Protein_Kinase_Signalling	Cz01g15090	AT5G42190	(1 of 19) K03094 - S-phase kinase-associated protein 1 (SKP1, CBF3D)	0.1621	0.277869	0.2661	0.195666	-0.2595	0.040088	-0.3634	0.042001
Folate	Cz01g15130	AT5G41480	(1 of 1) 6.3.2.12 - dihydrofolate synthase. / H2-folate synthetase.	0.1658	0.307243	-0.0613	0.729049	-0.6138	0.009267	-0.3866	0.046229
Protein_Methylation	Cz01g15150	AT4G31120	(1 of 1) 2.1.1.319//2.1.1.320 - type I protein arginine methyltransferase. / type I protein arginine methyltransferase. // type II protein arginine methyltransferase. / type II protein arginine methyltransferase.	-0.1259	0.539093	0.1635	0.387747	0.1078	0.261326	-0.1817	0.285063
Plastid_Division	Cz01g15170	AT1G14830	(1 of 1) PTHR11566:SF80 - DYNAMIN-RELATED PROTEIN 1C	0.0373	0.471194	0.2015	0.092364	-0.0916	0.065994	-0.2558	0.022317
Protein_Kinase_Signalling	Cz01g15180	AT3G10540	(1 of 2) K06276 - 3-phosphoinositide dependent protein kinase-1 (PDPK1)	0.1959	0.81739	0.1547	0.88084	-1.5447	0.104219	-1.5034	0.184675
RNA_Processing	Cz01g15240	AT2G25900	(1 of 1) PTHR14493:SF50 - SBP (S-RIBONUCLEASE BINDING PROTEIN) FAMILY PROTEIN	0.8056	0.670093	-3.657	0.171797	-2.6221	0.262012	1.8405	0.088674
Redox_Metabolism	Cz01g15280	AT4G30210	(1 of 2) 1.6.2.4 - NADPH--hemoprotein reductase. / TPNH-cytochrome c reductase.	-0.0192	0.902134	0.0481	0.819923	-0.2776	0.09594	-0.3449	0.079074
Metal_Homeostasis	Cz01g15290	AT1G15960	(1 of 1) PTHR11706:SF108 - METAL TRANSPORTER NRAMP6	0.0239	0.925937	-0.1032	0.843249	-1.099	0.017925	-0.9719	0.035576
Protein_Kinase_Signalling	Cz01g16020	AT2G32850	(1 of 1) K08853 - AP2-associated kinase [EC:2.7.11.1] (AAK)	0.1761	0.315415	-0.0093	0.981462	-0.3019	0.254556	-0.1165	0.293814
Transcription	Cz01g16030	AT5G03415	(1 of 1) PTHR12548:SF9 - TRANSCRIPTION FACTOR DP	0.3915	0.137172	0.2241	0.42151	-1.1246	0.009927	-0.9572	0.020828
RNA_Splicing	Cz01g16150	AT5G66650	(1 of 1) PTHR13462:SF39 - CALCIUM UNIPORTER PROTEIN 3, MITOCHONDRIAL	0.0892	0.706535	-0.0984	0.635642	-0.2039	0.214168	-0.0163	0.917049
Cytoskeleton	Cz01g16160	AT1G05320	(1 of 1) PTHR43049:SF1 - MYOSIN HEAVY CHAIN, EMBRYONIC SMOOTH PROTEIN	0.1225	0.918927	-2.939	0.386488	-3.6518	0.190237	-0.5902	0.413925
DNA_Repair	Cz01g16180	AT3G02680	(1 of 1) K10867 - nijmegen breakage syndrome protein 1 (NBN, NBS1)	0.2465	0.253598	-0.0989	0.622456	-0.281	0.097516	0.0644	0.437032
Ethylene	Cz01g16200	AT2G29650	(1 of 1) K08193 - MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), other (SLC17A)	0.0083	0.952279	-0.1521	0.23749	-0.2707	0.058952	-0.1103	0.149973
Proline	Cz01g16210	AT3G01480	(1 of 1) PTHR43246:SF2 - PEPTIDYL-PROLYL CIS-TRANS ISOMERASE CYP38, CHLOROPLASTIC	0.0449	0.718006	0.1815	0.203757	0.4014	0.022945	0.2648	0.017551
Protein_Kinase_Signalling	Cz01g16220	AT3G04680	(1 of 1) PTHR12755:SF6 - POLYRIBONUCLEOTIDE 5'-HYDROXYL-KINASE CLP1	-0.0564	0.682392	0.1999	0.225352	-0.0017	0.988054	-0.258	0.038237
Redox_Metabolism	Cz01g16230	AT3G47520	(1 of 1) PTHR11540:SF16 - MALATE DEHYDROGENASE, MITOCHONDRIAL	-0.0288	0.785875	0.1196	0.348845	-0.4786	0.015296	-0.627	0.020828
ESCRT_Endosome	Cz01g16250	AT1G73030	(1 of 1) PTHR10476:SF73 - ESCRT-RELATED PROTEIN CHMP1B	-0.0402	0.885362	0.1939	0.548854	0.5118	0.042692	0.2777	0.299037
Chaperone	Cz01g17020	AT3G51140	(1 of 1) PTHR33372:SF11 - DNAJ (DUF3353)	-0.1834	0.412938	0.0445	0.72099	0.5107	0.023935	0.2828	0.104469
Purine	Cz01g17030	AT5G24840	(1 of 2) 2.1.1.33 - tRNA (guanine(46)-N(7))-methyltransferase. / tRNA guanine 7-methyltransferase.	-0.2424	0.391844	0.4773	0.207702	0.4007	0.095992	-0.319	0.149911
Glutathione_Metabolism	Cz01g17060	AT1G78660	(1 of 1) PTHR11315:SF15 - GAMMA-GLUTAMYL HYDROLASE 1	0.2481	0.25219	0.1561	0.336886	-1.2851	0.006331	-1.1931	0.020452
Ethylene	Cz01g17080	AT5G67180	(1 of 1) PTHR32467:SF188 - AP2-LIKE ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR TOE3	-0.405	0.832808	0	NA	-2.6346	0.346226	-3.0396	0.267005
Ubiquitin_Proteasome	Cz01g17090	AT5G03200	(1 of 1) PTHR22996:SF10 - E3 UBIQUITIN-PROTEIN LIGASE LUL1-RELATED	-0.0847	0.527706	0.0955	0.749208	-0.183	0.328919	-0.3633	0.049427
Nuclear_Transport	Cz01g17120	AT1G33410	(1 of 1) K14303 - nuclear pore complex protein Nup160 (NUP160, NUP120)	0.1724	0.242368	0.0731	0.721371	-0.598	0.012308	-0.4987	0.034244
Calcium_Signalling	Cz01g17140	AT5G06260	(1 of 1) PTHR23354:SF95 - CALCIUM-BINDING EF-HAND FAMILY PROTEIN-RELATED	0.152	0.735907	0.8983	0.098914	0.5605	0.097702	-0.1858	0.405596
Meiosis_Recombination	Cz01g17150	AT1G22260	(1 of 2) PTHR23160:SF3 - SYNAPTONEMAL COMPLEX PROTEIN 1-RELATED	0.2832	0.31273	0.0079	0.983739	-1.0278	0.02113	-0.7525	0.07176
Chloroplast_Function	Cz01g17230	AT5G64290	(1 of 1) PTHR42826:SF1 - DICARBOXYLATE TRANSPORTER 2.1, CHLOROPLASTIC	-0.1494	0.313059	0.3539	0.115099	0.2864	0.056465	-0.217	0.065419
Shikimate_Pathway	Cz01g17240	AT2G45300	(1 of 2) 2.5.1.19 - 3-phosphoshikimate 1-carboxyvinyltransferase. / EPSP synthase.	-0.2309	0.316158	0.3292	0.161956	0.6163	0.022994	0.0563	0.553055
Translation	Cz01g17250	AT1G16870	(1 of 1) K17408 - small subunit ribosomal protein S29 (DAP3, MRPS29)	0.1567	0.252769	0.3648	0.095413	-0.0072	0.911429	-0.2153	0.043876
Chloroplast_Function	Cz01g18010	AT3G54900	(1 of 1) PTHR10293:SF72 - MONOTHIOL GLUTAREDOXIN-S14, CHLOROPLASTIC	-0.1302	0.496668	0.4883	0.161956	0.5216	0.037318	-0.0969	0.434623
Biotin	Cz01g18020	AT5G65720	(1 of 1) 2.8.1.6//2.8.1.7 - biotin synthase. / biotin synthase. // cysteine desulfurase. / cysteine desulfurylase.	0.0959	0.774069	0.236	0.268522	0.1153	0.476045	-0.0248	0.912565
Biotin	Cz01g18030	AT5G65720	(1 of 1) 2.8.1.6//2.8.1.7 - biotin synthase. / biotin synthase. // cysteine desulfurase. / cysteine desulfurylase.	0.0634	0.836269	0.1657	0.41115	0.0829	0.657244	-0.0194	0.896458
Histidine	Cz01g18040	AT5G63890	(1 of 1) 1.1.1.23 - histidinol dehydrogenase. / histidinol dehydrogenase.	-0.1321	0.274266	0.3266	0.057154	0.4925	0.008465	0.0338	0.462218
Protein_Kinase_Signalling	Cz01g18050	AT5G63310	(1 of 1) PTHR11349:SF44 - NUCLEOSIDE DIPHOSPHATE KINASE II, CHLOROPLASTIC	0.201	0.258132	0.4396	0.07484	0.8702	0.007854	0.6316	0.016312
RNA_Polymerase	Cz01g18090	AT1G29940	(1 of 1) K03002 - DNA-directed RNA polymerase I subunit RPA2 (RPA2, POLR1B)	-0.091	0.689517	0.1259	0.544365	-0.3768	0.022812	-0.5937	0.074208
Ubiquitin_Proteasome	Cz01g18100	AT4G01000	(1 of 1) IPR000626//IPR024974//IPR025086//IPR029071 - Ubiquitin domain // Sde2 N-terminal domain // SDE2-like, C-terminal domain // Ubiquitin-related domain	-0.0191	0.886717	-0.3792	0.190752	-0.1467	0.352663	0.2134	0.117252
Chloroplast_Function	Cz01g18110	AT5G19940	(1 of 1) PTHR31906:SF25 - PLASTID-LIPID-ASSOCIATED PROTEIN 8, CHLOROPLASTIC-RELATED	-0.5645	0.180945	-0.9414	0.036165	1.1555	0.007667	1.5324	0.011639
Inositol	Cz01g18130	AT2G22240	(1 of 1) PTHR11510:SF5 - INOSITOL-3-PHOSPHATE SYNTHASE 1	0.0629	0.304182	0.473	0.070576	0.4091	0.020475	-0.001	0.990212
Vesicle_Trafficking	Cz01g18160	AT5G63220	(1 of 1) PTHR12875:SF0 - GOLGI TO ER TRAFFIC PROTEIN 4 HOMOLOG	0.0628	0.61185	0.2722	0.101989	0.0612	0.435102	-0.1482	0.11367
DNA_Repair	Cz01g18210	AT1G79050	(1 of 1) PTHR45900:SF1 - MITOCHONDRIAL DNA REPAIR PROTEIN RECA HOMOLOG-RELATED	-0.0918	0.557695	0.1987	0.102313	0.3877	0.01093	0.0972	0.373719
Inositol	Cz01g18240	AT3G27325	(1 of 1) PTHR47346:SF1 - GPI INOSITOL-DEACYLASE	0.2953	0.334393	-0.065	0.846178	-1.0505	0.017818	-0.6902	0.058808
Lysine	Cz01g18260	AT1G62830	(1 of 1) PTHR10742:SF381 - LYSINE-SPECIFIC HISTONE DEMETHYLASE 1 HOMOLOG 1	0.1039	0.426592	0.1229	0.657982	-0.5176	0.045802	-0.5365	0.026223
Lysine	Cz01g18270	AT3G10390	(1 of 1) PTHR10742:SF260 - LYSINE-SPECIFIC HISTONE DEMETHYLASE 1 HOMOLOG 3	0.2226	0.254182	0.1587	0.644473	-0.4912	0.077458	-0.4273	0.038237
Proline	Cz01g19030	AT1G09970	(1 of 1) PTHR48053:SF165//PTHR48056:SF41 - RECEPTOR-LIKE PROTEIN KINASE HSL1 ISOFORM X2 // PROLINE IMINOPEPTIDASE	0.2495	0.656024	0.119	0.899821	-1.9069	0.076102	-1.7763	0.040612
Cell_Cycle_Chromatin	Cz01g19060	AT1G27510	(1 of 2) PF12014 - Cyclin D1 binding domain (Cyclin_D1_bind)	-0.0322	0.871266	0.1621	0.62933	-0.351	0.122986	-0.5453	0.043187
Protein_Kinase_Signalling	Cz01g19080	AT1G11390	(1 of 1) PTHR45890:SF1 - PROTEIN KINASE SUPERFAMILY PROTEIN	0.1313	0.29869	0.4834	0.121997	-0.0843	0.320134	-0.4364	0.052144
Pantothenate_CoA	Cz01g19090	AT1G25450	(1 of 2) PTHR31561:SF5 - 3-KETOACYL-COA SYNTHASE 5-RELATED	-0.5087	0.211613	-0.114	0.75889	-0.1089	0.449525	-0.5036	0.082334
Lutein	Cz01g19110	AT1G31800	(1 of 1) K15747 - beta-ring hydroxylase (LUT5, CYP97A3)	-0.433	0.741836	0.3188	0.886104	-0.5324	0.710466	-1.2842	0.15869
Lutein	Cz01g19130	AT1G31800	(1 of 1) K15747 - beta-ring hydroxylase (LUT5, CYP97A3)	-0.1332	0.370834	-0.2116	0.595456	-1.3386	0.019033	-1.2602	0.016523
Methionine	Cz01g19150	AT1G64660	(1 of 1) 4.4.1.11 - methionine gamma-lyase. / methionine lyase.	0.2356	0.304627	-0.0178	0.930029	-0.4111	0.045287	-0.1577	0.221682
RNA_Polymerase	Cz01g19190	AT1G60620	(1 of 2) K03027 - DNA-directed RNA polymerases I and III subunit RPAC1 (RPC40, POLR1C)	-0.0865	0.77279	0.2182	0.262796	0.2509	0.141805	-0.0538	0.785041
Protein_Phosphatase_Signalling	Cz01g19220	AT3G23610	(1 of 1) K05766 - protein phosphatase slingshot (SSH)	0.0407	0.810404	0.1119	0.563434	-0.1743	0.239689	-0.2456	0.129377
Translation	Cz01g20010	AT5G39900	(1 of 1) PTHR43512:SF7 - TRANSLATION FACTOR GUF1, MITOCHONDRIAL	-0.0188	0.899843	0.0939	0.735231	-0.3772	0.073379	-0.4899	0.036369
Potassium_Transport	Cz01g20030	AT2G26650	(1 of 1) PTHR45743:SF2 - POTASSIUM CHANNEL AKT1	-0.4795	0.349059	-0.2303	0.671718	0.1756	0.415271	-0.0736	0.835452
Ubiquitin_Proteasome	Cz01g20040	AT5G42220	(1 of 1) PTHR15204:SF5 - UBIQUITIN-LIKE DOMAIN-CONTAINING PROTEIN	0.1215	0.344459	0.3104	0.267222	-0.4105	0.069131	-0.5994	0.023358
RNA_Splicing	Cz01g20100	AT3G18790	(1 of 1) K12870 - pre-mRNA-splicing factor ISY1 (ISY1)	0.0892	0.287596	0.3556	0.220382	0.102	0.379437	-0.1644	0.039732
