Pathway	GeneID	Symbol	Description	HL_vs_LL_1mM_log2FC	HL_vs_LL_1mM_padj	HL_vs_LL_10mM_log2FC	HL_vs_LL_10mM_padj	HighN_vs_LowN_HL_log2FC	HighN_vs_LowN_HL_padj	HighN_vs_LowN_LL_log2FC	HighN_vs_LowN_LL_padj
RNA_Splicing	Cz12g10200	AT5G26930	(1 of 1) PTHR47172:SF30 - GATA ZINC FINGER DOMAIN-CONTAINING PROTEIN 14-RELATED	0.0711	0.555299	0.0831	0.789098	-0.6817	0.02278	-0.6937	0.027462
Vitamin_C_Ascorbate	Cz12g10220	AT1G77490	(1 of 1) PTHR31356:SF62 - L-ASCORBATE PEROXIDASE T, CHLOROPLASTIC	0.1378	0.331903	0.3181	0.129792	0.748	0.007892	0.5676	0.028709
Omega3_Fatty_Acid	Cz12g10230	AT4G27030	(1 of 3) 1.14.19.43 - palmitoyl-[glycerolipid] 3-(E)-desaturase. / palmitoyl-[glycerolipid] 3-(E)-desaturase.	0.1526	0.575872	0.5644	0.131726	0.1939	0.31843	-0.2179	0.187607
Cysteine	Cz12g11050	AT1G48605	(1 of 2) 4.1.1.36 - phosphopantothenoylcysteine decarboxylase. / N-[(R)-4'-phosphopantothenoyl]-L-cysteine carboxy-lyase.	0.2316	0.248572	0.1954	0.528414	-0.3625	0.014265	-0.3262	0.173683
Molybdenum_Cofactor	Cz12g11070	AT5G55550	(1 of 1) PTHR48032:SF2 - RNA-BINDING (RRM_RBD_RNP MOTIFS) FAMILY PROTEIN	0.2828	0.308149	0.0913	0.832826	-1.072	0.017107	-0.8805	0.025297
tRNA_Modification	Cz12g11080	AT1G78010	(1 of 1) K03650 - tRNA modification GTPase [EC:3.6.-.-] (mnmE, trmE, MSS1)	-0.0087	0.971962	0.2478	0.204886	0.1267	0.302574	-0.1298	0.422774
Ethylene	Cz12g11120	AT3G54320	(1 of 1) PTHR32467:SF97 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR WRI1	-0.0941	0.620264	0.1401	0.535632	-0.309	0.111353	-0.5432	0.038673
Raffinose_Galactinol	Cz12g11130	AT1G55740	(1 of 1) PTHR31268:SF29 - GALACTINOL--SUCROSE GALACTOSYLTRANSFERASE 1-RELATED	0.3359	0.368534	0.1109	0.836931	-1.7166	0.00949	-1.4916	0.05583
Cytoskeleton	Cz12g11160	AT1G05320	(1 of 1) PTHR43049:SF1 - MYOSIN HEAVY CHAIN, EMBRYONIC SMOOTH PROTEIN	0.1515	0.695379	0.2862	0.629512	-1.7042	0.058666	-1.8389	0.022821
Chloroplast_Import	Cz12g11180	AT5G61380	(1 of 1) K12127 - pseudo-response regulator 1 (TOC1, APRR1)	0.2644	0.43759	-0.8644	0.184472	-1.0086	0.03877	0.1202	0.654945
Protein_Kinase_Signalling	Cz12g11190	AT5G64730	(1 of 1) K13124 - mitogen-activated protein kinase organizer 1 (MORG1)	0.1967	0.220052	0.1393	0.143597	-0.2297	0.023694	-0.1724	0.046479
Translation	Cz12g12010	AT2G04520	(1 of 1) PTHR21668:SF0 - EUKARYOTIC INITIATION FACTOR 1A, ISOFORM A	-0.0794	0.287697	0.0884	0.41685	0.2476	0.037732	0.0798	0.259819
RNA_Processing	Cz12g12030	AT5G04910	(1 of 1) PF14966 - DNA repair REX1-B (DNA_repr_REX1B)	0.2051	0.472267	-0.0502	0.885572	-0.1541	0.482354	0.1013	0.566656
Transcription	Cz12g12040	AT1G12400	(1 of 2) K10845 - TFIIH basal transcription factor complex TTD-A subunit (TTDA, GTF2H5, TFB5)	0.2932	0.378454	-0.1784	0.616761	-0.2548	0.325172	0.2168	0.185107
RNA_Splicing	Cz12g12050	AT1G08960	(1 of 1) PTHR12266:SF33 - CATION_CALCIUM EXCHANGER 5	0.0968	0.757646	0.0726	0.711627	-0.5228	0.063941	-0.4985	0.154264
Protein_Lipidation	Cz12g12060	AT5G20350	(1 of 1) PTHR24161:SF17 - PALMITOYLTRANSFERASE	0.0394	0.781508	0.1754	0.610615	-0.8927	0.013524	-1.0287	0.019444
Chloroplast_Function	Cz12g12120	AT3G62910	(1 of 1) PTHR43804:SF8 - PEPTIDE CHAIN RELEASE FACTOR APG3, CHLOROPLASTIC	-0.1309	0.265224	0.3541	0.200506	0.6287	0.034714	0.1438	0.034083
Chloroplast_Function	Cz12g12130	AT5G20720	(1 of 1) PTHR10772:SF63 - 20 KDA CHAPERONIN, CHLOROPLASTIC	-0.052	0.675292	0.6361	0.211804	0.6111	0.084218	-0.077	0.420473
Chaperone	Cz12g12170	AT1G80030	(1 of 1) PTHR43096:SF22 - MOLECULAR CHAPERONE HSP40_DNAJ FAMILY PROTEIN	0.3645	0.353747	-0.4863	0.363821	0.1952	0.613783	1.046	0.025673
Redox_Metabolism	Cz12g12210	AT4G31530	(1 of 9) KOG1203 - Predicted dehydrogenase	0.108	0.641923	0.1604	0.376	0.0867	0.566703	0.0343	0.78272
Photosynthesis	Cz12g12230	AT1G52230	(1 of 1) PTHR34787:SF1 - PHOTOSYSTEM I REACTION CENTER SUBUNIT VI-1, CHLOROPLASTIC-RELATED	-1.4909	0.137172	-0.9624	0.057154	2.8071	0.021199	2.2786	0.019444
Histone_Modification	Cz12g12240	AT5G46240	(1 of 1) PTHR45743:SF6 - POTASSIUM CHANNEL KAT1	0.6528	0.450668	-0.4333	0.432758	-1.5624	0.118251	-0.4763	0.419373
Redox_Metabolism	Cz12g12250	AT5G58490	(1 of 1) PTHR10366:SF369 - CINNAMOYL-COA REDUCTASE-LIKE PROTEIN	0.268	0.400357	0.3034	0.243052	0.3556	0.10468	0.3201	0.101282
Translation	Cz12g12300	AT3G55170	(1 of 2) PTHR45722:SF17 - 60S RIBOSOMAL PROTEIN L35-1-RELATED	-0.0802	0.602032	0.2071	0.367996	0.1885	0.21686	-0.0988	0.306473
Raffinose_Galactinol	Cz12g13010	AT2G47180	(1 of 1) PTHR11183:SF193 - GALACTINOL SYNTHASE 1	1.9931	0.247619	0.604	0.098914	-1.4402	0.074138	-0.0511	0.871306
ESCRT_Endosome	Cz12g13040	AT2G06530	(1 of 1) PTHR10476:SF4 - CHARGED MULTIVESICULAR BODY PROTEIN 2A	0.2665	0.368107	0.2056	0.53341	-0.499	0.062007	-0.438	0.117437
Protein_Kinase_Signalling	Cz12g13050	AT4G33950	(1 of 1) PTHR24343:SF509 - SERINE_THREONINE-PROTEIN KINASE SRK2E	-0.151	0.557122	-0.3389	0.564075	0.6978	0.246872	0.8857	0.063995
Serine	Cz12g13100	AT4G23160	(1 of 1) 2.7.11.1//2.7.7.49 - non-specific serine/threonine protein kinase. / threonine-specific protein kinase. // RNA-directed DNA polymerase. / revertase.	-0.0997	0.597602	0.5123	0.175664	-0.4612	0.028843	-1.0732	0.041979
Transposon_Retrotransposon	Cz12g13140	ATMG00710	(1 of 1) PTHR42648:SF11 - TRANSPOSON TY4-P GAG-POL POLYPROTEIN	-0.1552	0.446485	0.4601	0.262878	-0.4759	0.059485	-1.0912	0.027666
