og_id	c00	c01	c02	c03	c04	c05	c06	c07	c08	c09	c10	c11	c12	c13	c14	c15
37TDW	0.4213	0.5522	0.7113	0.3637	0.3349	0.3510	0.2037	1.3028	0.5954	0.6358	0.3677	0.2627	0.2191	0.4254	0.0818	0.2235
37TDX	2.3545	2.1194	2.3275	2.4124	1.3882	2.7052	2.6921	2.6872	2.0694	2.3418	2.2015	0.7974	1.9848	2.6150	1.1321	1.9980
37TDY	0.0254	0.0280	0.0704	0.0335	0.9456	0.0578	0.0182	0.1183	0.0573	0.0941	0.0224	0.7701	0.3046	0.0278	0.0603	0.1138
37TDZ	0.0125	0.2247	0.3226	0.0891	0.2089	0.2595	0.0572	0.6026	0.1962	0.1655	0.0307	0.0073	0.0003	0.1183	0.4942	0.0227
37TE0	0.5795	0.1862	0.0870	0.3614	0.1073	0.3551	0.4980	0.1937	0.1429	0.2591	0.5875	0.0152	0.0000	0.3913	0.0114	0.1146
37TE1	0.9099	0.6403	0.9730	0.8786	0.4346	0.8012	0.8970	1.0007	0.7334	0.6760	0.8245	0.4855	0.5343	0.7979	0.0846	0.2627
37TE2	0.5658	0.1466	0.0719	0.1148	0.0966	0.1573	0.0662	0.1289	0.1110	0.2022	0.1220	0.2681	0.0037	0.2781	0.0053	0.0447
37TE3	0.2495	0.4996	0.6681	0.4140	0.2022	0.4711	0.2476	1.1767	0.4950	0.9153	0.4397	0.0260	0.7049	0.4990	0.0591	0.1932
37TE4	0.0381	0.1309	0.0624	0.0935	0.0278	0.0879	0.1072	0.1705	0.1225	0.1603	0.0544	0.0194	0.2088	0.0878	0.0046	0.0357
37TE5	2.8163	1.4571	1.7394	1.1584	0.5684	1.4612	1.0556	1.8252	1.3553	1.6863	2.3197	0.0894	0.9697	1.7897	0.2943	1.0759
37TE6	0.0031	0.0062	0.0300	0.0108	0.2212	0.0292	0.0027	0.0513	0.0206	0.0572	0.0037	0.1538	0.1622	0.0119	0.0302	0.0464
37TE7	0.1977	0.0511	0.0250	0.0621	0.0425	0.0492	0.0514	0.0731	0.0470	0.0522	0.1926	0.0153	0.0278	0.0737	0.0193	0.0723
37TE8	0.0048	0.0159	0.0640	0.0352	0.5279	0.0692	0.0033	0.0176	0.0913	0.1091	0.0074	0.0601	0.0422	0.0105	0.0067	0.0225
37TE9	0.0002	0.0016	0.0338	0.0049	0.5059	0.0407	0.0006	0.0153	0.0318	0.0707	0.0063	0.5401	0.0756	0.0006	0.0125	0.0000
37TEA	1.6407	1.5474	2.0831	1.7107	0.8449	1.7118	1.3864	1.7907	1.8108	1.5444	1.2612	0.9460	2.8031	1.9325	0.9290	0.6651
37TEB	3.0265	2.4840	2.3975	2.7523	1.2600	2.6005	2.8894	2.8360	2.3377	2.3657	2.5568	0.9657	1.7469	2.8992	1.9494	0.9635
37TEC	0.5361	0.4136	0.1786	0.2328	0.1472	0.4100	0.1556	0.2912	0.2980	0.4539	0.4963	0.1246	0.0252	0.5630	0.0502	0.0440
37TED	1.0181	0.4925	0.3842	0.6208	0.5081	0.6835	0.5528	0.5649	0.4648	0.6982	0.8583	0.8667	0.6492	1.0231	0.2415	0.3041
37TEE	0.5988	0.6013	0.4744	0.4565	0.2832	0.4303	0.4423	1.0835	0.5334	0.5359	0.4179	0.1340	0.4580	0.5248	0.1254	0.1168
