experiment_accession	assay	gene_id	specificity_score	marker_gene_rank	expression_unit	expression_level	gene_name	assay_id
E-GEOD-62671	zeitgeber time 21	CHLRE_12g492600v5	NULL	NULL	tpms	1	Cre12.g492600	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_12g492600v5	NULL	NULL	tpms	2	Cre12.g492600	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_12g492600v5	NULL	NULL	tpms	3	Cre12.g492600	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_12g492600v5	NULL	NULL	tpms	3	Cre12.g492600	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_06g297049v5	NULL	NULL	tpms	4	Cre06.g297049	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_06g297049v5	NULL	NULL	tpms	0.2	Cre06.g297049	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_06g297049v5	NULL	NULL	tpms	0.2	Cre06.g297049	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_06g297049v5	NULL	NULL	tpms	0.2	Cre06.g297049	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_06g297049v5	0.023	1	tpms	157	Cre06.g297049	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_06g297049v5	NULL	NULL	tpms	0.5	Cre06.g297049	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_06g297049v5	NULL	NULL	tpms	1	Cre06.g297049	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_06g297049v5	NULL	NULL	tpms	0.4	Cre06.g297049	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_07g318800v5	NULL	NULL	tpms	2	Cre07.g318800	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_07g318800v5	NULL	NULL	tpms	0.7	Cre07.g318800	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_07g318800v5	NULL	NULL	tpms	1	Cre07.g318800	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_07g318800v5	NULL	NULL	tpms	1	Cre07.g318800	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_07g318800v5	0.0238	2	tpms	98	Cre07.g318800	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_07g318800v5	NULL	NULL	tpms	2	Cre07.g318800	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_07g318800v5	NULL	NULL	tpms	2	Cre07.g318800	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_07g318800v5	NULL	NULL	tpms	1	Cre07.g318800	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_03g146667v5	NULL	NULL	tpms	2	Cre03.g146667	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_03g146667v5	NULL	NULL	tpms	0.5	Cre03.g146667	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_03g146667v5	NULL	NULL	tpms	0.9	Cre03.g146667	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_03g146667v5	NULL	NULL	tpms	0.2	Cre03.g146667	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_03g146667v5	0.0274	3	tpms	71	Cre03.g146667	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_03g146667v5	NULL	NULL	tpms	0.5	Cre03.g146667	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_03g146667v5	NULL	NULL	tpms	1	Cre03.g146667	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_03g146667v5	NULL	NULL	tpms	0.3	Cre03.g146667	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_14g616826v5	NULL	NULL	tpms	0.1	Cre14.g616826	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_14g616826v5	NULL	NULL	tpms	0.1	Cre14.g616826	g2
