experiment_accession	assay	gene_id	specificity_score	marker_gene_rank	expression_unit	expression_level	gene_name	assay_id
E-GEOD-62671	zeitgeber time 18	CHLRE_03g162800v5	0.2673	8	fpkms	2	Cre03.g162800	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_03g162800v5	NULL	NULL	fpkms	0.1	Cre03.g162800	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_03g162800v5	NULL	NULL	fpkms	0.1	Cre03.g162800	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_03g162800v5	NULL	NULL	fpkms	0.1	Cre03.g162800	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_03g162800v5	NULL	NULL	fpkms	0	Cre03.g162800	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_16g688414v5	NULL	NULL	fpkms	1	Cre16.g688414	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_16g688414v5	NULL	NULL	fpkms	0.9	Cre16.g688414	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_16g688414v5	NULL	NULL	fpkms	1	Cre16.g688414	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_16g688414v5	0.2677	9	fpkms	5	Cre16.g688414	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_16g688414v5	NULL	NULL	fpkms	0.5	Cre16.g688414	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_16g688414v5	NULL	NULL	fpkms	0.7	Cre16.g688414	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_16g688414v5	NULL	NULL	fpkms	0.5	Cre16.g688414	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_16g688414v5	NULL	NULL	fpkms	1	Cre16.g688414	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_04g223100v5	NULL	NULL	fpkms	15		g1
E-GEOD-62671	zeitgeber time 12	CHLRE_04g223100v5	NULL	NULL	fpkms	2		g2
E-GEOD-62671	zeitgeber time 15	CHLRE_04g223100v5	NULL	NULL	fpkms	42		g3
E-GEOD-62671	zeitgeber time 18	CHLRE_04g223100v5	0.2739	10	fpkms	154		g4
E-GEOD-62671	zeitgeber time 21	CHLRE_04g223100v5	NULL	NULL	fpkms	9		g5
E-GEOD-62671	zeitgeber time 3	CHLRE_04g223100v5	NULL	NULL	fpkms	4		g6
E-GEOD-62671	zeitgeber time 6	CHLRE_04g223100v5	NULL	NULL	fpkms	2		g7
E-GEOD-62671	zeitgeber time 9	CHLRE_04g223100v5	NULL	NULL	fpkms	13		g8
E-GEOD-62671	zeitgeber time 0	CHLRE_14g610400v5	NULL	NULL	fpkms	3	Cre14.g610400	g1
