Pathway	GeneID	Symbol	Description	wtns_vs_wtc_log2FC	wtns_vs_wtc_padj	vipns_vs_vipc_log2FC	vipns_vs_vipc_padj	vipc_vs_wtc_log2FC	vipc_vs_wtc_padj	vipns_vs_wtns_log2FC	vipns_vs_wtns_padj
Serine	Cre01.g027100	Cre01.g027100	membrane serine-type endopeptidase activity protein processing involved in protein targeting to mitochondrion signal peptide processing serine-type peptidase activity proteolysis mitochondrial inner membrane peptidase complex hydrolase activity peptidase activity mitochondrial inner membrane endopeptidase activity	0.1449	0.941403	0.2552	0.602064	0.8041	0.627762	0.9145	0.606213
RNA_Processing	Cre01.g027150	Cre01.g027150	ATP binding nucleic acid binding nucleotide binding helicase activity hydrolase activity nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay Ski complex RNA helicase activity	-0.4377	0.836565	0.4206	0.633556	0.5145	0.637243	1.3729	0.606213
Ubiquitin_Proteasome	Cre01.g027200	Cre01.g027200	transferase activity nucleotide binding ATP binding nucleus ubiquitin-dependent protein catabolic process protein polyubiquitination ubiquitin-protein transferase activity ubiquitin conjugating enzyme activity	0.7282	0.765014	0.6953	0.429809	0.6516	0.627762	0.6187	0.616056
Purine	Cre01.g027350	Cre01.g027350	RNA binding RNA methyltransferase activity tRNA methylation RNA processing transferase activity methyltransferase activity methylation tRNA (guanine) methyltransferase activity	0.7112	0.763672	0.5018	0.509948	0.9066	0.627762	0.6972	0.606213
Ubiquitin_Proteasome	Cre01.g027650	Cre01.g027650	ubiquitin-like protein ligase binding	0.5747	0.765014	1.1154	0.272509	0.6257	0.627762	1.1663	0.606213
RNA_Processing	Cre01.g028200	Cre01.g028200	ATP binding nucleic acid binding RNA helicase activity nucleotide binding helicase activity hydrolase activity nucleus cytoplasm mRNA binding ribonucleoprotein complex	2.5063	0.763672	1.8363	0.293495	0.4783	0.708751	-0.1918	0.828812
Serine	Cre01.g028350	Cre01.g028350	serine-type endopeptidase activity proteolysis hydrolase activity peptidase activity serine-type peptidase activity protein binding	-0.1042	0.933546	-0.0417	0.957585	0.5293	0.627762	0.5918	0.65768
Vitamin_B6_Pyridoxine	Cre01.g028423	Cre01.g028423	carboxy-lyase activity carboxylic acid metabolic process pyridoxal phosphate binding amino acid metabolic process carbon-carbon lyase activity lyase activity cytoplasm	-0.302	0.931861	-0.1484	0.771256	0.792	0.637243	0.9457	0.610115
Cysteine	Cre01.g028550	Cre01.g028550	cysteine-type deubiquitinase activity	-1.1813	0.763672	-0.4008	0.537993	0.5861	0.629093	1.3666	0.606213
Fatty_Acid	Cre01.g028600	Cre01.g028600	oxidoreductase activity oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor fatty acid biosynthetic process quinone binding	-1.0539	0.763672	-0.1458	0.812533	0.8619	0.627762	1.77	0.606213
Ubiquitin_Proteasome	Cre01.g029050	Cre01.g029050	cytosol nucleus ubiquitin ligase complex proteasome-mediated ubiquitin-dependent protein catabolic process protein-macromolecule adaptor activity protein binding	0.7499	0.763672	0.8131	0.379518	0.4751	0.627762	0.5383	0.613812
Cysteine	Cre01.g029200	Cre01.g029200	nucleus proteolysis cysteine-type endopeptidase activity hydrolase activity cytoplasm mitotic spindle meiotic chromosome separation chromosome segregation nuclear division nuclear chromosome segregation	-2.1374	0.805383	-2.4605	0.167576	1.5214	0.627762	1.1984	0.674442
Phenylalanine	Cre01.g029250	Cre01.g029250	iron ion binding aromatic amino acid metabolic process monooxygenase activity oxidoreductase activity metal ion binding chloroplast catalytic activity phenylalanine 4-monooxygenase activity oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen L-phenylalanine catabolic process tyrosine biosynthetic process, by oxidation of phenylalanine	2.2271	0.763672	1.7223	0.270493	0.9699	0.627762	0.4652	0.630466
Serine	Cre01.g029500	Cre01.g029500	ATP binding protein kinase activity protein phosphorylation nucleotide binding protein serine/threonine kinase activity regulation of cell cycle	0.8916	0.763672	0.136	0.832571	1.0485	0.627762	0.2928	0.759884
Pyrimidine	Cre01.g029750	Cre01.g029750	ATP binding 'de novo' pyrimidine nucleobase biosynthetic process pyrimidine nucleotide biosynthetic process nucleobase-containing compound metabolic process nucleobase-containing compound kinase activity transferase activity kinase activity nucleotide binding cytoplasm nucleotide biosynthetic process phosphotransferase activity, phosphate group as acceptor nucleoside monophosphate phosphorylation cytosol AMP kinase activity pyrimidine-containing compound biosynthetic process nucleoside monophosphate metabolic process	0.4272	0.890215	-1.2701	0.525112	0.8233	0.665307	-0.874	0.66768
Serine	Cre01.g029850	Cre01.g029850	ATP binding protein kinase activity protein serine/threonine kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding intracellular signal transduction	0.9439	0.765014	0.1411	0.785977	0.3049	0.694394	-0.4978	0.733892
Translation	Cre01.g030050	Cre01.g030050	translation ribosome structural constituent of ribosome ribonucleoprotein complex	-1.2727	0.763672	-1.5706	0.275011	0.6191	0.627762	0.3213	0.793309
Protein_Kinase_Signalling	Cre01.g030100	Cre01.g030100	ATP binding protein kinase activity protein phosphorylation cytoplasm signal transduction	1.2292	0.823203	0.254	0.826897	1.573	0.627762	0.5978	0.787451
Serine	Cre01.g030200	Cre01.g030200	protein serine/threonine phosphatase activity signal transduction protein dephosphorylation	-0.1574	0.924179	-0.6954	0.316462	0.4008	0.639831	-0.1371	0.869708
Phospholipid_Biosynthesis	Cre01.g030250	Cre01.g030250	phosphatidylinositol phosphate biosynthetic process 3'(2'),5'-bisphosphate nucleotidase activity sulfur compound metabolic process hydrolase activity metal ion binding sulfate assimilation	-0.5267	0.812362	0.1627	0.882226	0.4152	0.675846	1.1046	0.622917
Glutathione_Metabolism	Cre01.g030300	Cre01.g030300	membrane transmembrane transport transmembrane transporter activity glutathione transport	-0.2806	0.87871	-0.8908	0.285661	0.5365	0.634856	-0.0737	0.934304
Photosynthesis	Cre01.g030350	Cre01.g030350	protein folding chaperone photosynthesis carbon fixation protein folding	6.1157	0.763672	4.6593	0.240751	2.2405	0.627762	0.7842	0.606213
Cysteine	Cre01.g030450	Cre01.g030450	cysteine-type deubiquitinase activity protein deubiquitination cysteine-type endopeptidase activity hydrolase activity peptidase activity proteolysis cysteine-type peptidase activity cytosol nucleus regulation of protein stability	0.8485	0.763672	0.5892	0.289668	1.0425	0.627762	0.7832	0.606213
Serine	Cre01.g030600	Cre01.g030600	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity signal transduction	2.0875	0.763672	0.1591	0.871185	0.992	0.627762	-0.9364	0.660913
Vitamin_B2_Riboflavin	Cre01.g030650	Cre01.g030650	DNA binding FAD binding photoreactive repair deoxyribodipyrimidine photo-lyase activity	0.1181	0.977095	-0.6017	0.516321	1.883	0.627762	1.1632	0.606213
Serine	Cre01.g030700	Cre01.g030700	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity signal transduction	0.3984	0.775141	-0.1406	0.774407	1.2227	0.627762	0.6837	0.606213
Ubiquitin_Proteasome	Cre01.g030850	Cre01.g030850	ubiquitin-dependent protein catabolic process proteasome core complex, alpha-subunit complex proteolysis involved in protein catabolic process proteasome core complex nucleus cytoplasm proteasome complex proteasome-mediated ubiquitin-dependent protein catabolic process	-0.9689	0.765014	-1.3589	0.259573	0.6789	0.627762	0.2889	0.733876
Fatty_Acid	Cre01.g030900	Cre01.g030900	fatty acid metabolic process medium-chain fatty acid-CoA ligase activity	-0.523	0.896263	-1.0075	0.361012	1.0345	0.630403	0.55	0.669524
Serine	Cre01.g031300	Cre01.g031300	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity nucleus cytoplasm intracellular signal transduction calmodulin binding calcium-dependent protein serine/threonine kinase activity calcium/calmodulin-dependent protein kinase activity	-0.3769	0.850727	-0.7397	0.461777	1.0719	0.627762	0.7091	0.606213
Translation	Cre01.g031750	Cre01.g031750	RNA endonuclease activity ribosomal small subunit biogenesis nucleus hydrolase activity metal ion binding cytoplasm rRNA processing nuclease activity maturation of SSU-rRNA preribosome, small subunit precursor nuclear lumen	-0.0657	0.973072	0.8333	0.354586	0.1061	0.91444	1.0051	0.606213
Cysteine	Cre01.g031850	Cre01.g031850	D-cysteine desulfhydrase activity carbon-sulfur lyase activity	-0.5256	0.765014	-0.8415	0.32558	0.9183	0.627762	0.6024	0.66768
Protein_Kinase_Signalling	Cre01.g031900	Cre01.g031900	ATP binding protein kinase activity protein phosphorylation	1.8862	0.763672	3.6736	0.272473	-0.7545	0.748277	1.0329	0.606213
Glycolysis	Cre01.g032050	Cre01.g032050	transmembrane transport endoplasmic reticulum membrane UDP-galactose transmembrane transporter activity UDP-galactose transmembrane transport Golgi membrane UDP-glucose transmembrane transporter activity UDP-glucose transmembrane transport	-1.4285	0.765014	-1.8802	0.068582	0.8601	0.627762	0.4084	0.66768
Pentose_Phosphate	Cre01.g032650	Cre01.g032650	carbohydrate metabolic process transaldolase activity cytoplasm pentose-phosphate shunt transferase activity	-2.3614	0.763672	-3.5118	0.061295	0.3197	0.775748	-0.8306	0.606213
Glycolysis	Cre01.g032700	Cre01.g032700	ATP binding glycolytic process glucokinase activity D-glucose binding glucose 6-phosphate metabolic process transferase activity kinase activity	-0.0197	0.994255	0.5129	0.431267	0.4555	0.674214	0.9881	0.606213
Serine	Cre01.g032850	Cre01.g032850	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity signal transduction	2.3346	0.763672	3.5463	0.174909	-0.1495	0.923425	1.0623	0.606213
Nitrogen_Assimilation	Cre01.g033091	Cre01.g033091	nucleotide binding ATP binding ligase activity diphthine-ammonia ligase activity protein histidyl modification to diphthamide	0.6561	0.765014	0.9662	0.451491	0.3227	0.651613	0.6329	0.660913
RNA_Processing	Cre01.g033832	Cre01.g033832	ATP binding nucleic acid binding RNA helicase activity nucleotide binding helicase activity hydrolase activity mitochondrion	0.1424	0.924797	0.6761	0.503951	0.3356	0.675846	0.8692	0.60926
RNA_Processing	Cre01.g033950	Cre01.g033950	zinc ion binding nucleic acid binding 3'-5'-RNA exonuclease activity hydrolase activity metal ion binding nuclease activity exonuclease activity exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) negative regulation of regulatory ncRNA-mediated heterochromatin formation	-0.4846	0.883906	1.273	0.366671	-0.0955	0.952724	1.6621	0.606213
Vitamin_B6_Pyridoxine	Cre01.g034050	Cre01.g034050	pyridoxal phosphate binding biosynthetic process transferase activity transaminase activity cytoplasm kynurenine-oxoglutarate transaminase activity	0.7399	0.765014	0.9042	0.348099	0.5118	0.664353	0.6762	0.606213
Transcription	Cre01.g034350	Cre01.g034350	nucleus regulation of DNA-templated transcription DNA-binding transcription factor activity, RNA polymerase II-specific RNA polymerase II cis-regulatory region sequence-specific DNA binding regulation of transcription by RNA polymerase II	5.1853	0.763672	5.0771	0.530187	0	NA	-0.1082	0.964167
Pentose_Phosphate	Cre01.g034400	Cre01.g034400	carbohydrate metabolic process pentose-phosphate shunt 6-phosphogluconolactonase activity hydrolase activity cytosol pentose-phosphate shunt, oxidative branch	0.1062	0.942991	0.1416	0.685096	0.3763	0.647672	0.4117	0.610123
Ubiquitin_Proteasome	Cre01.g034451	Cre01.g034451	cytosol nucleus autophagosome assembly membrane fusion ubiquitin binding proteasome-mediated ubiquitin-dependent protein catabolic process Golgi organization nuclear membrane reassembly protein binding	-1.0553	0.763672	-0.1549	0.774407	0.0979	0.880381	0.9983	0.606213
Serine	Cre01.g034900	Cre01.g034900	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity cytoplasm	2.1282	0.763672	1.9349	0.193516	1.0168	0.627762	0.8236	0.606213
Cysteine	Cre01.g035200	Cre01.g035200	transferase activity acyltransferase activity protein-cysteine S-palmitoyltransferase activity Golgi apparatus endoplasmic reticulum palmitoyltransferase activity protein targeting to membrane endomembrane system	1.173	0.765014	0.6864	0.386492	2.1253	0.627762	1.6387	0.606213
Arginine	Cre01.g035300	Cre01.g035300	hydrolase activity hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides N-carbamoylputrescine amidase activity putrescine biosynthetic process from arginine	0	NA	3.2251	0.594782	0	NA	3.2251	0.66768
Fatty_Acid	Cre01.g035350	Cre01.g035350	oxidoreductase activity lipid metabolic process fatty acid biosynthetic process mitochondrion fatty acid metabolic process	0.7833	0.763672	0.915	0.304425	0.1671	0.821438	0.2988	0.681925
Inositol	Cre01.g035500	Cre01.g035500	kinase activity phosphatidylinositol phosphate biosynthetic process transferase activity cytoplasm membrane autophagosome assembly endosome peroxisome endocytosis phagophore assembly site 1-phosphatidylinositol-3-kinase activity phosphatidylinositol-3-phosphate biosynthetic process phosphatidylinositol-mediated signaling phosphatidylinositol 3-kinase complex, class III, type I phosphatidylinositol 3-kinase complex, class III, type II pexophagy	-0.3248	0.833486	0.8153	0.643755	0.4995	0.637243	1.6397	0.634976
Serine	Cre01.g036000	Cre01.g036000	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity cytoplasm intracellular signal transduction	-0.8457	0.763672	-1.5762	0.281611	0.4466	0.630867	-0.2839	0.881771
Ubiquitin_Proteasome	Cre01.g036100	Cre01.g036100	nucleus proteasome-mediated ubiquitin-dependent protein catabolic process protein-macromolecule adaptor activity protein binding	-4.6451	0.763672	-4.6503	0.290923	0.4218	0.689376	0.4165	0.819037
Serine	Cre01.g036200	Cre01.g036200	hydrolase activity metal ion binding phosphoprotein phosphatase activity protein serine/threonine phosphatase activity protein binding	0.8272	0.764391	0.2276	0.652571	0.7329	0.629908	0.1332	0.862142
Serine	Cre01.g036250	Cre01.g036250	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity cytoplasm intracellular signal transduction	-0.997	0.763672	-1.259	0.128217	0.6359	0.627762	0.3739	0.66768
Vitamin_E_Tocopherol	Cre01.g036300	Cre01.g036300	kinase activity transferase activity metal ion binding chloroplast membrane zinc ion binding phytol kinase activity	-0.27	0.890462	0.698	0.442424	0.153	0.853392	1.1209	0.606213
Serine	Cre01.g036650	Cre01.g036650	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity cytoplasm	1.759	0.763672	0.8397	0.352477	0.9681	0.627762	0.0489	0.952653
Serine	Cre01.g036700	Cre01.g036700	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity cytoplasm intracellular signal transduction	-0.1463	0.923276	-0.1513	0.777313	0.2159	0.744676	0.2109	0.804643
